Pdemand,Pvre,Pbattery,Pgas,Ebattery,Egas
47.8975684,15.748896182533866,32.14867221746613,0.0,245.36783199440364,30393.629091725805
48.2704855,15.754995541467846,0.0,32.51548995853216,211.52712439707085,30393.629091725805
48.4922976,16.090795003870927,0.0,32.40150259612907,211.52712439707085,30321.372447373513
49.199161,16.24495918641715,0.0,32.95420181358285,211.52712439707085,30249.36910827101
50.2293381,16.23014892682907,0.0,33.999189173170926,211.52712439707085,30176.13754868527
55.6528706,19.556409704438387,12.236110579687718,23.86035031587388,211.52712439707088,30100.583794967108
59.8908809,40.49252791024338,0.0,19.398352989756624,198.64700799739958,30047.560794265173
65.4294007,63.30759586796552,0.0,2.121804832034473,198.64700799739958,30004.453343176818
66.7758306,81.08074390725307,-14.304913307253043,0.0,198.6470079973996,29999.738221327854
73.2436127,91.06680188702383,-17.823189187023836,0.0,211.52142997392735,29999.738221327854
76.8754487,91.49386777770286,-14.618419077702859,0.0,227.5623002422488,29999.738221327858
76.5047206,81.6702256913581,-5.165505091358098,0.0,240.71887741218143,29999.738221327854
70.2312432,61.166952285889124,0.0,9.064290914110867,245.3678319944037,29999.73822132785
64.6020523,35.75343816329961,0.0,28.848614136700377,245.36783199440367,29979.595352629825
62.7703058,23.941451846308173,0.0,38.82885395369183,245.3678319944037,29915.48732121494
59.6317552,24.869460847000095,0.0,34.7622943529999,245.36783199440367,29829.200979095614
62.8229686,25.59615845750217,0.0,37.226810142497825,245.36783199440367,29751.95143608895
66.073383,26.068269213946927,0.0,40.005113786053066,245.3678319944037,29669.22519132784
64.0973268,26.078406864530614,0.0,38.01891993546938,245.36783199440367,29580.32493846995
59.0162649,25.874243769948777,0.0,33.14202113005122,245.36783199440367,29495.83844972446
58.2811775,25.37612896471093,0.0,32.90504853528907,245.36783199440367,29422.1895138799
51.8974926,24.770961225800527,0.0,27.12653137419948,245.36783199440364,29349.067183801486
51.2740159,23.564148502935428,0.0,27.709867397064574,245.36783199440362,29288.78600296993
51.8529816,22.643245902979373,0.0,29.20973569702062,245.36783199440362,29227.20851986534
49.7748842,22.03654201064721,4.201021150111771e-14,27.738342189352746,245.36783199440364,29162.297996094185
50.2831234,22.1722827758114,0.0,28.110840624188604,245.36783199440362,29100.657235673403
50.6861656,23.70520044713207,2.681875812364491e-14,26.980965152867903,245.36783199440362,29038.188700952993
51.9545043,26.105155374419354,13.12060160108858,12.728747324492073,245.36783199440362,28978.231000613287
51.8197039,28.63054074206244,23.189163157937557,0.0,231.5566724143104,28949.94489544775
53.8525221,34.54077088581638,19.311751214183623,0.0,207.14702698490245,28949.94489544775
58.3450983,54.897082962565946,3.4480153374340476,0.0,186.8188678120776,28949.94489544775
